actual_timing_runs,batch_size,cache_tokens,comment,compute_capability,configured_runs,configured_warmups,cuda_version,data_parallel_size,device,dmon_path,error,executed_dtype,expert_parallel_size,finished_at,global_experts,gpu_name,head_dim,hidden_size,intermediate_size,k_heads,kernel,kind,kv_heads,latency_mean_ms,latency_median_ms,local_experts,name,phase,query_heads,requested_dtype,runtime,sequence_length,started_at,status,time_tag,top_k,torch_version,v_heads
2500,18,131072,QWEN_micro_listnew power and frequency run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_power_freq_20260904T090139Z/dmon/nvidia_dmon_gated_gqa_decode.csv,,bfloat16,1,2026-09-04T09:02:18.151766+00:00,0,NVIDIA B200,256,0,0,0,trtllm_torch_flow,attention,2,0.3451822265625,0.3451822265625,0,gated_gqa_decode,decode,32,mxfp8,trtllm,1,2026-09-04T09:01:39.729593+00:00,ok,20260904T090218Z,0,2.12.0a0+5aff3928d8.nv26.05,0
61,18,131072,QWEN_micro_listnew power and frequency run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_power_freq_20260904T090139Z/dmon/nvidia_dmon_gated_gqa_prefill.csv,,fp8,1,2026-09-04T09:02:20.237123+00:00,0,NVIDIA B200,256,0,0,0,trtllm_torch_flow,attention,2,16.450625560322745,16.450625560322745,0,gated_gqa_prefill,prefill,32,mxfp8,trtllm,512,2026-09-04T09:02:18.151939+00:00,ok,20260904T090220Z,0,2.12.0a0+5aff3928d8.nv26.05,0
10,16,0,QWEN_micro_listnew power and frequency run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_power_freq_20260904T090139Z/dmon/nvidia_dmon_gdn_decode.csv,,bfloat16,1,2026-09-04T09:02:21.319414+00:00,0,NVIDIA B200,128,0,0,16,trtllm_fused_recurrent_gated_delta_rule,gdn,0,0.021961599588394165,0.021961599588394165,0,gdn_decode,decode,0,bf16,trtllm,1,2026-09-04T09:02:20.237320+00:00,ok,20260904T090221Z,0,2.12.0a0+5aff3928d8.nv26.05,64
10,16,0,QWEN_micro_listnew power and frequency run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_power_freq_20260904T090139Z/dmon/nvidia_dmon_gdn_prefill.csv,,bfloat16,1,2026-09-04T09:02:53.666952+00:00,0,NVIDIA B200,128,0,0,16,trtllm_chunk_gated_delta_rule,gdn,0,0.7619487762451171,0.7619487762451171,0,gdn_prefill,prefill,0,bf16,trtllm,512,2026-09-04T09:02:21.319578+00:00,ok,20260904T090253Z,0,2.12.0a0+5aff3928d8.nv26.05,64
50,16,0,QWEN_micro_listnew power and frequency run; host GPU 1 only,10.0,50,10,13.0,8,cuda:0,collector_runs/qwen_micro_gpu1_power_freq_20260904T090139Z/dmon/nvidia_dmon_moe_down_prefill.csv,,fp8,8,2026-09-04T09:03:10.937619+00:00,512,NVIDIA B200,0,1024,4096,0,deepgemm_m_grouped_fp8_gemm_nt_contiguous,moe_down,0,0.3218438339233398,0.3218438339233398,64,moe_down_prefill,prefill,0,fp8,deepgemm,512,2026-09-04T09:03:07.874262+00:00,ok,20260904T090310Z,10,2.11.0+cu130,0
50,16,0,QWEN_micro_listnew power and frequency run; host GPU 1 only,10.0,50,10,13.0,8,cuda:0,collector_runs/qwen_micro_gpu1_power_freq_20260904T090139Z/dmon/nvidia_dmon_moe_gate_up_decode.csv,,fp8,8,2026-09-04T09:03:14.044376+00:00,512,NVIDIA B200,0,1024,4096,0,deepgemm_m_grouped_fp8_gemm_nt_contiguous,moe_gate_up,0,0.14744128227233888,0.14744128227233888,64,moe_gate_up_decode,decode,0,fp8,deepgemm,1,2026-09-04T09:03:10.937870+00:00,ok,20260904T090314Z,10,2.11.0+cu130,0
1326,16,0,QWEN_micro_listnew power and frequency run; host GPU 1 only,10.0,50,10,13.0,8,cuda:0,collector_runs/qwen_micro_gpu1_power_freq_20260904T090139Z/dmon/nvidia_dmon_moe_gate_up_prefill.csv,,fp8,8,2026-09-04T09:03:16.126356+00:00,512,NVIDIA B200,0,1024,4096,0,deepgemm_m_grouped_fp8_gemm_nt_contiguous,moe_gate_up,0,0.854178266108126,0.854178266108126,64,moe_gate_up_prefill,prefill,0,fp8,deepgemm,512,2026-09-04T09:03:14.044534+00:00,ok,20260904T090316Z,10,2.11.0+cu130,0
