actual_timing_runs,batch_size,cache_tokens,comment,compute_capability,configured_runs,configured_warmups,cuda_version,data_parallel_size,device,dmon_path,error,executed_dtype,expert_parallel_size,finished_at,global_experts,gpu_name,head_dim,hidden_size,intermediate_size,k_heads,kernel,kind,kv_heads,latency_mean_ms,latency_median_ms,local_experts,name,phase,query_heads,requested_dtype,runtime,sequence_length,started_at,status,time_tag,top_k,torch_version,v_heads
2382,18,131072,QWEN_micro_listnew full non-MoE run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_full_20260904T084745Z/dmon/nvidia_dmon_gated_gqa_decode.csv,,bfloat16,1,2026-09-04T08:48:28.420216+00:00,0,NVIDIA B200,256,0,0,0,trtllm_torch_flow,attention,2,0.34515467979245384,0.34515467979245384,0,gated_gqa_decode,decode,32,mxfp8,trtllm,1,2026-09-04T08:47:45.989421+00:00,ok,20260904T084828Z,0,2.12.0a0+5aff3928d8.nv26.05,0
61,18,131072,QWEN_micro_listnew full non-MoE run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_full_20260904T084745Z/dmon/nvidia_dmon_gated_gqa_prefill.csv,,fp8,1,2026-09-04T08:48:30.508277+00:00,0,NVIDIA B200,256,0,0,0,trtllm_torch_flow,attention,2,16.450751632940573,16.450751632940573,0,gated_gqa_prefill,prefill,32,mxfp8,trtllm,512,2026-09-04T08:48:28.420404+00:00,ok,20260904T084830Z,0,2.12.0a0+5aff3928d8.nv26.05,0
10,16,0,QWEN_micro_listnew full non-MoE run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_full_20260904T084745Z/dmon/nvidia_dmon_gdn_decode.csv,,bfloat16,1,2026-09-04T08:48:31.562843+00:00,0,NVIDIA B200,128,0,0,16,trtllm_fused_recurrent_gated_delta_rule,gdn,0,0.02096640020608902,0.02096640020608902,0,gdn_decode,decode,0,bf16,trtllm,1,2026-09-04T08:48:30.508547+00:00,ok,20260904T084831Z,0,2.12.0a0+5aff3928d8.nv26.05,64
10,16,0,QWEN_micro_listnew full non-MoE run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_full_20260904T084745Z/dmon/nvidia_dmon_gdn_prefill.csv,,bfloat16,1,2026-09-04T08:49:06.897580+00:00,0,NVIDIA B200,128,0,0,16,trtllm_chunk_gated_delta_rule,gdn,0,0.7618527889251709,0.7618527889251709,0,gdn_prefill,prefill,0,bf16,trtllm,512,2026-09-04T08:48:31.562996+00:00,ok,20260904T084906Z,0,2.12.0a0+5aff3928d8.nv26.05,64
50,16,0,QWEN_micro_listnew full MoE run; host GPU 1 only,10.0,50,10,13.0,8,cuda:0,collector_runs/qwen_micro_gpu1_full_20260904T084745Z/dmon/nvidia_dmon_moe_down_prefill.csv,,fp8,8,2026-09-04T08:49:27.283142+00:00,512,NVIDIA B200,0,1024,4096,0,deepgemm_m_grouped_fp8_gemm_nt_contiguous,moe_down,0,0.32168575286865236,0.32168575286865236,64,moe_down_prefill,prefill,0,fp8,deepgemm,512,2026-09-04T08:49:24.178533+00:00,ok,20260904T084927Z,10,2.11.0+cu130,0
50,16,0,QWEN_micro_listnew full MoE run; host GPU 1 only,10.0,50,10,13.0,8,cuda:0,collector_runs/qwen_micro_gpu1_full_20260904T084745Z/dmon/nvidia_dmon_moe_gate_up_decode.csv,,fp8,8,2026-09-04T08:49:30.392442+00:00,512,NVIDIA B200,0,1024,4096,0,deepgemm_m_grouped_fp8_gemm_nt_contiguous,moe_gate_up,0,0.14759743690490723,0.14759743690490723,64,moe_gate_up_decode,decode,0,fp8,deepgemm,1,2026-09-04T08:49:27.283454+00:00,ok,20260904T084930Z,10,2.11.0+cu130,0
1325,16,0,QWEN_micro_listnew full MoE run; host GPU 1 only,10.0,50,10,13.0,8,cuda:0,collector_runs/qwen_micro_gpu1_full_20260904T084745Z/dmon/nvidia_dmon_moe_gate_up_prefill.csv,,fp8,8,2026-09-04T08:49:32.458470+00:00,512,NVIDIA B200,0,1024,4096,0,deepgemm_m_grouped_fp8_gemm_nt_contiguous,moe_gate_up,0,0.850167397553066,0.850167397553066,64,moe_gate_up_prefill,prefill,0,fp8,deepgemm,512,2026-09-04T08:49:30.392624+00:00,ok,20260904T084932Z,10,2.11.0+cu130,0
