actual_timing_runs,batch_size,cache_tokens,comment,compute_capability,configured_runs,configured_warmups,cuda_version,data_parallel_size,device,dmon_path,error,executed_dtype,expert_parallel_size,finished_at,global_experts,gpu_name,head_dim,hidden_size,intermediate_size,k_heads,kernel,kind,kv_heads,latency_mean_ms,latency_median_ms,local_experts,name,phase,query_heads,requested_dtype,sequence_length,started_at,status,time_tag,top_k,torch_version,v_heads
2486,18,131072,QWEN_micro_listnew full run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_20260904T084118Z/nvidia_dmon_gated_gqa_decode.csv,,bfloat16,1,2026-09-04T08:42:04.504830+00:00,0,NVIDIA B200,256,0,0,0,trtllm_torch_flow,attention,2,0.34524693262740097,0.34524693262740097,0,gated_gqa_decode,decode,32,mxfp8,1,2026-09-04T08:41:26.137161+00:00,ok,20260904T084204Z,0,2.12.0a0+5aff3928d8.nv26.05,0
61,18,131072,QWEN_micro_listnew full run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_20260904T084118Z/nvidia_dmon_gated_gqa_prefill.csv,,fp8,1,2026-09-04T08:42:06.562129+00:00,0,NVIDIA B200,256,0,0,0,trtllm_torch_flow,attention,2,16.451138855981046,16.451138855981046,0,gated_gqa_prefill,prefill,32,mxfp8,512,2026-09-04T08:42:04.505010+00:00,ok,20260904T084206Z,0,2.12.0a0+5aff3928d8.nv26.05,0
0,16,0,QWEN_micro_listnew full run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_20260904T084118Z/nvidia_dmon_gdn_decode.csv,RuntimeError: AIC GDN collector emitted no unique fused_recurrent_gated_delta_rule row,,1,2026-09-04T08:42:07.610465+00:00,0,NVIDIA B200,128,0,0,16,,gdn,0,,,0,gdn_decode,decode,0,bf16,1,2026-09-04T08:42:06.562345+00:00,failed,20260904T084207Z,0,2.12.0a0+5aff3928d8.nv26.05,64
0,16,0,QWEN_micro_listnew full run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_20260904T084118Z/nvidia_dmon_gdn_prefill.csv,RuntimeError: AIC GDN collector emitted no unique chunk_gated_delta_rule row,,1,2026-09-04T08:42:08.698107+00:00,0,NVIDIA B200,128,0,0,16,,gdn,0,,,0,gdn_prefill,prefill,0,bf16,512,2026-09-04T08:42:07.610603+00:00,failed,20260904T084208Z,0,2.12.0a0+5aff3928d8.nv26.05,64
0,16,0,QWEN_micro_listnew full run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_20260904T084118Z/nvidia_dmon_moe_down_prefill.csv,ModuleNotFoundError: No module named 'deep_gemm',,8,2026-09-04T08:42:08.700343+00:00,512,NVIDIA B200,0,1024,4096,0,,moe_down,0,,,64,moe_down_prefill,prefill,0,fp8,512,2026-09-04T08:42:08.698243+00:00,failed,20260904T084208Z,10,2.12.0a0+5aff3928d8.nv26.05,0
0,16,0,QWEN_micro_listnew full run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_20260904T084118Z/nvidia_dmon_moe_gate_up_decode.csv,ModuleNotFoundError: No module named 'deep_gemm',,8,2026-09-04T08:42:08.702266+00:00,512,NVIDIA B200,0,1024,4096,0,,moe_gate_up,0,,,64,moe_gate_up_decode,decode,0,fp8,1,2026-09-04T08:42:08.700435+00:00,failed,20260904T084208Z,10,2.12.0a0+5aff3928d8.nv26.05,0
0,16,0,QWEN_micro_listnew full run; host GPU 1 only,10.0,50,10,13.2,8,cuda:0,collector_runs/qwen_micro_gpu1_20260904T084118Z/nvidia_dmon_moe_gate_up_prefill.csv,ModuleNotFoundError: No module named 'deep_gemm',,8,2026-09-04T08:42:08.704297+00:00,512,NVIDIA B200,0,1024,4096,0,,moe_gate_up,0,,,64,moe_gate_up_prefill,prefill,0,fp8,512,2026-09-04T08:42:08.702353+00:00,failed,20260904T084208Z,10,2.12.0a0+5aff3928d8.nv26.05,0
